id,set_id,category_id
990b3919-be6d-49a1-a3cb-91782213f6f8,041a9eed-1665-40e5-876e-1875460cf730,1
2847b3fa-542c-40f2-a742-7fd52d56159c,041a9eed-1665-40e5-876e-1875460cf730,2
3f2dd425-82d5-4fbd-a881-63cf1bedf1cb,041a9eed-1665-40e5-876e-1875460cf730,3
03c74bf4-c10c-4034-839a-0032e4d0d14e,4ebe2131-528f-4d73-b4b4-348a9d383bd3,1
cef03e80-9842-4a10-9c26-4b6c891ea22a,4ebe2131-528f-4d73-b4b4-348a9d383bd3,2
cd7931f2-09a4-4de2-a628-3260e5b4b9a3,4ebe2131-528f-4d73-b4b4-348a9d383bd3,3
912dd1ec-0b9f-4757-bd7e-53de13a8ea19,255fe9a9-acb5-445b-98f1-092cfe4c2272,1
084e92f6-3d05-48ed-adc3-2bd8b05d6863,255fe9a9-acb5-445b-98f1-092cfe4c2272,2
e1bfb0f9-eb96-4d99-a101-31f2f97fc95c,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,1
a9f6a9aa-14d7-4905-bc25-7fb7a6b51ae2,dbb6d273-c3b8-463d-8195-c63d6b641e47,1
7660f819-2e3e-4e8f-a946-2feb70f8cf2b,7e06b6ef-cc2c-43c8-bd86-7f57e6f067b0,1
27930cac-d90b-4fd7-b95a-775e8f495089,7e06b6ef-cc2c-43c8-bd86-7f57e6f067b0,2
