id,name
24e029f5-fa56-45af-8969-239bd8202253,"SW0661: BB-8 (Small Photoreceptor)"
9043d7ee-0748-4e6f-8017-3dcf7479ccd9,"SW0700: C-3PO - Colorful Wires, Printed Legs"
1e6dfeb4-7438-4966-8d7a-dfa278426c69,"SW0532: Chewbacca - Medium Nougat Fur"
c89725a9-2a39-462a-85dd-07de46757016,"SW0676: Finn - Medium Nougat Jacket, Black Legs"
7d4b2343-493b-42d0-8664-dfd07dac15ab,"SW0879: Han Solo, Dark Brown Legs with Holster Pattern, Dark Blue Jacket, Wavy Hair"
dfabd533-9aa5-4206-932f-96da879af457,"SW0841: Han Solo, Old"
553e73ca-bcaf-46f4-b6c6-465c549b6b1b,"SW0878: Princess Leia (Hoth Outfit White)"
2a8de620-687f-463b-9dea-fccfeebb2e35,"SW0677: Rey - Dark Tan Tied Robe"
ee8513f8-f744-4450-98fc-f85baa757f73,"SW1113: Din Grogu / The Child / 'Baby Yoda'"
8f111a86-2317-40ae-a09a-083f67e41826,"SW1244: Kuiil - Backpack"
11f98b3a-84a3-4c77-8555-84a0bbb11abb,"SW1242: The Mandalorian / Din Djarin / 'Mando' - Brown Durasteel Armor, Printed Arms"
f6e2abd1-8338-4289-8fa5-24439c75458d,"SW1243: The Mythrol"
63c949d4-3516-44a4-95b7-503e02a6e2a6,"SH0791: Batman - Black Suit with Copper Belt and Printed Legs (Type 2 Cowl)"
04529baa-aa1e-4871-8011-bad40c3404b7,"SH0792: The Joker - Green Vest and Printed Arms"
0dfe4a01-51f7-42a8-9941-212d20369a5b,"90398PB020: Albus Dumbledore Statuette / Trophy"
f9be0eed-1124-4d24-847b-474d33f8ffcb,"90398PB025: Argus Filch Statuette / Trophy"
0a3c7f4c-c3a9-4517-97ea-90f97d5c751b,"90398PB026: Bellatrix Lestrange Statuette / Trophy"
88f1e296-17fc-4eb6-bf0a-cecb3d792a1d,"90398PB015: Draco Malfoy Statuette / Trophy - Slytherin Robe"
f83d17bb-e23d-46e6-be84-df243a0838ce,"HP159: Godric Gryffindor"
a0d73199-1efd-491e-92f5-58637711b022,"90398PB027: Gryffindor Student Statuette / Trophy #1, Dark Brown Hair"
414571f3-bf2e-4e76-a94e-f8cb14316923,"90398PB028: Gryffindor Student Statuette / Trophy #2, Dark Red Hair"
e3c32440-2582-4abd-bfd6-ecbd6ae8654f,"90398PB029: Gryffindor Student Statuette / Trophy #3, Black Hair"
37bccc6d-89e7-4cd9-901c-d59b76e4c3b5,"90398PB016: Harry Potter Statuette / Trophy - Gryffindor Robe"
05ea5e74-ae04-483c-a52e-0a90e60f6f5a,"HP160: Helga Hufflepuff"
03b2aa38-ae8b-492f-b44f-d3a26a494be1,"90398PB017: Hermione Granger Statuette / Trophy - Gryffindor Robe"
17083d1d-44ff-4b81-a9c6-826803e476b1,"90398PB030: Hufflepuff Student Statuette / Trophy #1, Nougat Face"
788a1727-ad38-4e03-b973-31ac95427d76,"90398PB031: Hufflepuff Student Statuette / Trophy #2, Reddish Brown Face"
790aa318-6ec0-489e-b0b0-a10d27b3f855,"90398PB032: Hufflepuff Student Statuette / Trophy #3, Light Nougat Face"
d9b50d28-aaa7-44c3-9f75-9c6efdc8f5fd,"90398PB018: Lord Voldemort Statuette / Trophy"
802eefbf-837d-460e-899f-d843062665e5,"90398PB021: Professor Dolores Umbridge Statuette / Trophy"
34dfb592-8005-4990-89ef-cf859872e3a3,"90398PB022: Professor Minerva McGonagall Statuette / Trophy"
2787162a-2d03-4830-8d81-d2c1bf4c09b8,"90398PB024: Professor Remus Lupin Statuette / Trophy"
daddb084-c48b-4c8b-9a6d-1790ff40fe32,"90398PB023: Professor Severus Snape Statuette / Trophy"
8044734f-3310-4cc1-96d1-ad936e8aaa6b,"90398PB033: Ravenclaw Student Statuette / Trophy #1, Black Hair, Light Nougat Face"
ea5466af-6d34-4177-9d7f-3b0d08ea9ced,"90398PB034: Ravenclaw Student Statuette / Trophy #2, Bright Light Yellow Hair, Light Nougat Face"
2f73399f-5ba3-493c-8ab5-80db30254d08,"90398PB035: Ravenclaw Student Statuette / Trophy #3, Black Hair, Reddish Brown Face"
301e7809-6407-4204-a039-024c3bb7cd3e,"90398PB019: Ron Weasley Statuette / Trophy - Gryffindor Robe"
303c08d0-edcd-4f7f-b379-589a44aad8e9,"HP162: Rowena Ravenclaw"
b37f9cc0-b58f-4542-8d0a-bcf4e9f218b1,"HP161: Salazar Slytherin"
db320b68-1fd9-42fe-8a9f-eb598ac7c7f4,"90398PB036: Slytherin Student Statuette / Trophy #1, Nougat Face"
87184c62-7706-4709-a8a8-6f7056c795bd,"90398PB037: Slytherin Student Statuette / Trophy #2, Reddish Brown Face"
875206ce-2b72-40fb-b7aa-4ee2ee8d8d33,"90398PB038: Slytherin Student Statuette / Trophy #3, Light Nougat Face"
1cf3d2a4-0295-4d5e-be46-532f19a126ce,"HFW001: Aloy - Lopsided Closed Mouth / Surprised Open Mouth"
1c50403c-3241-4d1c-9d18-003938805493,"HFW002: Watcher"
