id,set_id,minifigure_id,quantity
c2ea4563-6ddf-4739-962d-6eef724643ef,041a9eed-1665-40e5-876e-1875460cf730,24e029f5-fa56-45af-8969-239bd8202253,1
90774c5e-a0b8-489b-bc85-c2e8615277fa,041a9eed-1665-40e5-876e-1875460cf730,9043d7ee-0748-4e6f-8017-3dcf7479ccd9,1
530fbb58-e0b3-4493-9783-b3968462a235,041a9eed-1665-40e5-876e-1875460cf730,1e6dfeb4-7438-4966-8d7a-dfa278426c69,1
2de529f7-aa80-4e68-a4c6-9c7151d82561,041a9eed-1665-40e5-876e-1875460cf730,c89725a9-2a39-462a-85dd-07de46757016,1
32f67479-99fe-4290-b86e-41ee57e14590,041a9eed-1665-40e5-876e-1875460cf730,7d4b2343-493b-42d0-8664-dfd07dac15ab,1
6e96eb36-df5d-4d4e-9907-cfc7c564b779,041a9eed-1665-40e5-876e-1875460cf730,dfabd533-9aa5-4206-932f-96da879af457,1
146c0e19-7b76-4d23-8676-a5c38a0565d2,041a9eed-1665-40e5-876e-1875460cf730,553e73ca-bcaf-46f4-b6c6-465c549b6b1b,1
623f8a0d-1c2a-41c1-abf9-a59975b574dd,041a9eed-1665-40e5-876e-1875460cf730,2a8de620-687f-463b-9dea-fccfeebb2e35,1
ef72cc89-b93c-4037-936c-3bdc325eaf78,4ebe2131-528f-4d73-b4b4-348a9d383bd3,ee8513f8-f744-4450-98fc-f85baa757f73,1
26d254db-546a-4280-9730-78182283c70b,4ebe2131-528f-4d73-b4b4-348a9d383bd3,8f111a86-2317-40ae-a09a-083f67e41826,1
b9ec3440-966b-48fe-9036-0db1f7b27f73,4ebe2131-528f-4d73-b4b4-348a9d383bd3,11f98b3a-84a3-4c77-8555-84a0bbb11abb,1
5c992fc9-5f11-42f5-8197-3fea413ca68b,4ebe2131-528f-4d73-b4b4-348a9d383bd3,f6e2abd1-8338-4289-8fa5-24439c75458d,1
78bd1e4f-ecc5-4f4d-b15d-b460e3f933c3,255fe9a9-acb5-445b-98f1-092cfe4c2272,63c949d4-3516-44a4-95b7-503e02a6e2a6,1
2ec24454-84b0-4b05-b848-f1ef2c9a7cc7,255fe9a9-acb5-445b-98f1-092cfe4c2272,04529baa-aa1e-4871-8011-bad40c3404b7,1
acccea1d-e65b-47bc-897a-e418c0339bb6,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,0dfe4a01-51f7-42a8-9941-212d20369a5b,1
d9dc9b42-70c0-44fb-af62-d10c8361a192,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,f9be0eed-1124-4d24-847b-474d33f8ffcb,1
080c9733-53a3-4ee5-8d03-5ff9fd3ca689,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,0a3c7f4c-c3a9-4517-97ea-90f97d5c751b,1
f0a54cf1-e3a9-4ae1-945b-6627916cee81,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,88f1e296-17fc-4eb6-bf0a-cecb3d792a1d,1
32c63b6b-cb93-4392-9416-eedf2f7a7345,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,f83d17bb-e23d-46e6-be84-df243a0838ce,1
ad9d2932-49f4-4d1a-9cf8-52ca0015e45e,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,a0d73199-1efd-491e-92f5-58637711b022,1
22d5b29d-acc6-4cef-9d65-202c7a188b21,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,414571f3-bf2e-4e76-a94e-f8cb14316923,1
c24d582a-193c-4ec8-9fe6-01a9bf256d70,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,e3c32440-2582-4abd-bfd6-ecbd6ae8654f,1
147f19a2-59ca-4d67-a5dd-0558657a2bc6,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,37bccc6d-89e7-4cd9-901c-d59b76e4c3b5,1
eca0242d-9269-45ae-b3f0-374afa22da44,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,05ea5e74-ae04-483c-a52e-0a90e60f6f5a,1
a52bef71-40f3-4231-87d9-941e01652285,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,03b2aa38-ae8b-492f-b44f-d3a26a494be1,1
1b647636-375d-4ee3-b648-bb76229329af,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,17083d1d-44ff-4b81-a9c6-826803e476b1,1
678bd4d0-9e11-43cd-8205-aad04fe08807,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,788a1727-ad38-4e03-b973-31ac95427d76,1
98846c25-ccf6-4a7f-842d-f2fade51f1e5,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,790aa318-6ec0-489e-b0b0-a10d27b3f855,1
74af058f-9f78-4b53-8255-baae422206c3,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,d9b50d28-aaa7-44c3-9f75-9c6efdc8f5fd,1
bd24f9ed-13ee-41c3-a537-50834d3f2341,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,802eefbf-837d-460e-899f-d843062665e5,1
f28d2592-9917-40de-a987-66b7827eae41,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,34dfb592-8005-4990-89ef-cf859872e3a3,1
79c28e53-de1c-4bad-a280-2c13cb85f443,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,2787162a-2d03-4830-8d81-d2c1bf4c09b8,1
8bf2c003-72e9-46d2-815f-72384ae87242,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,daddb084-c48b-4c8b-9a6d-1790ff40fe32,1
39150630-4bc8-44c9-a3ae-d0aa9b180acb,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,8044734f-3310-4cc1-96d1-ad936e8aaa6b,1
771e5335-ea15-4cd2-b535-d6e5661453a7,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,ea5466af-6d34-4177-9d7f-3b0d08ea9ced,1
dff09cd8-0306-4ef1-ac44-a82e79e54aae,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,2f73399f-5ba3-493c-8ab5-80db30254d08,1
acf6cb92-6584-4660-a67d-6d0fa68d3f61,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,301e7809-6407-4204-a039-024c3bb7cd3e,1
a7a8665c-2c74-45d3-bef8-9990b387e370,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,303c08d0-edcd-4f7f-b379-589a44aad8e9,1
e8011520-ae43-48c3-9cc3-b6fba5cb6808,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,b37f9cc0-b58f-4542-8d0a-bcf4e9f218b1,1
50c0b328-da1f-4277-ba6d-42dd4d2ece4d,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,db320b68-1fd9-42fe-8a9f-eb598ac7c7f4,1
0c9c045a-e9de-4f26-99e9-96c477199152,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,87184c62-7706-4709-a8a8-6f7056c795bd,1
33803013-c2ed-455f-9a48-c76ddbbfe489,7e2f89ad-c69f-4bf5-a86c-60b48d793a7b,875206ce-2b72-40fb-b7aa-4ee2ee8d8d33,1
4676b971-f899-4908-91be-4f11b6261315,36fa1db6-f5e6-4b97-8f88-ab99a3aab971,1cf3d2a4-0295-4d5e-be46-532f19a126ce,1
aab7a608-ceba-4cae-9660-a6e8293c4cb6,36fa1db6-f5e6-4b97-8f88-ab99a3aab971,1c50403c-3241-4d1c-9d18-003938805493,1
